phase,actor,rank,word,score,source
P1,Syrian_Regime,1,authority,30.2315,aljazeera
P1,Syrian_Regime,2,capital,22.2819,aljazeera
P1,Syrian_Regime,3,speech,17.0075,aljazeera
P1,Syrian_Regime,4,rule,16.5133,aljazeera
P1,Syrian_Regime,5,reform,16.3843,aljazeera
P1,Syrian_Regime,6,force,13.9036,aljazeera
P1,Syrian_Regime,7,istanbul,12.6636,aljazeera
P1,Syrian_Regime,8,weekly,12.6636,aljazeera
P1,Syrian_Regime,9,wave,12.6636,aljazeera
P1,Syrian_Regime,10,erdogan,11.606,aljazeera
P1,Syrian_Regime,11,habib,10.1239,aljazeera
P1,Syrian_Regime,12,spring,10.1239,aljazeera
P1,Syrian_Regime,13,tehran,10.1239,aljazeera
P1,Syrian_Regime,14,reportedly,10.045,aljazeera
P1,Syrian_Regime,15,step,9.7756,aljazeera
P1,Syrian_Regime,16,sect,9.5319,aljazeera
P1,Syrian_Regime,17,assads,9.3715,aljazeera
P1,Syrian_Regime,18,arrested,9.133,aljazeera
P1,Syrian_Regime,19,uprising,8.3451,aljazeera
P1,Syrian_Regime,20,power,8.3312,aljazeera
P1,Syrian_Opposition,1,protester,239.9491,aljazeera
P1,Syrian_Opposition,2,figure,78.8016,aljazeera
P1,Syrian_Opposition,3,demonstrator,73.1036,aljazeera
P1,Syrian_Opposition,4,national,36.585,aljazeera
P1,Syrian_Opposition,5,uprising,36.07,aljazeera
P1,Syrian_Opposition,6,force,32.3291,aljazeera
P1,Syrian_Opposition,7,demonstration,30.939,aljazeera
P1,Syrian_Opposition,8,meeting,30.8446,aljazeera
P1,Syrian_Opposition,9,dialogue,27.6029,aljazeera
P1,Syrian_Opposition,10,security,27.2952,aljazeera
P1,Syrian_Opposition,11,witness,24.1727,aljazeera
P1,Syrian_Opposition,12,council,23.8837,aljazeera
P1,Syrian_Opposition,13,conference,23.2382,aljazeera
P1,Syrian_Opposition,14,representative,22.1517,aljazeera
P1,Syrian_Opposition,15,defector,17.4472,aljazeera
P1,Syrian_Opposition,16,unite,17.2,aljazeera
P1,Syrian_Opposition,17,daraa,16.9743,aljazeera
P1,Syrian_Opposition,18,fsa,15.5437,aljazeera
P1,Syrian_Opposition,19,protest,14.7565,aljazeera
P1,Syrian_Opposition,20,fire,14.5191,aljazeera
P1,Russia,1,dmitry,12.2427,aljazeera
P1,Russia,2,medvedev,10.6026,aljazeera
P1,Russia,3,effort,9.0901,aljazeera
P1,Russia,4,representative,9.0901,aljazeera
P1,Russia,5,president,7.9699,aljazeera
P1,Russia,6,opposition,4.7429,aljazeera
P1,Russia,7,condemning,4.3362,aljazeera
P1,Russia,8,vetoed,3.7753,aljazeera
P1,Russia,9,resolution,3.5859,aljazeera
P1,Russia,10,talk,3.3123,aljazeera
P1,Russia,11,implement,2.6723,aljazeera
P1,Russia,12,letter,2.6723,aljazeera
P1,Russia,13,press,2.6723,aljazeera
P1,Russia,14,centre,2.6723,aljazeera
P1,Russia,15,counterpart,2.6723,aljazeera
P1,Russia,16,clinton,2.6703,aljazeera
P1,Russia,17,political,2.6703,aljazeera
P1,Russia,18,intervention,2.6703,aljazeera
P1,Russia,19,oppose,2.6703,aljazeera
P1,Russia,20,condemn,2.6703,aljazeera
P1,Iran,1,hezbollah,49.3619,aljazeera
P1,Iran,2,hariri,8.5953,aljazeera
P1,Iran,3,islamic,8.4451,aljazeera
P1,Iran,4,tribunal,7.3166,aljazeera
P1,Iran,5,prime,7.3166,aljazeera
P1,Iran,6,quds,6.704,aljazeera
P1,Iran,7,leader,6.0556,aljazeera
P1,Iran,8,saad,6.0556,aljazeera
P1,Iran,9,rafiq,6.0556,aljazeera
P1,Iran,10,supporting,4.9897,aljazeera
P1,Iran,11,revolutionary,4.9897,aljazeera
P1,Iran,12,guard,4.9897,aljazeera
P1,Iran,13,tension,4.8119,aljazeera
P1,Iran,14,force,4.5754,aljazeera
P1,Iran,15,assassination,3.5849,aljazeera
P1,Iran,16,attack,3.5849,aljazeera
P1,Iran,17,role,3.5849,aljazeera
P1,Iran,18,supporter,3.5849,aljazeera
P1,Iran,19,indicted,3.5849,aljazeera
P1,Iran,20,indictment,3.5849,aljazeera
P1,Turkey,1,bdama,9.5321,aljazeera
P1,Turkey,2,ahmet,8.529,aljazeera
P1,Turkey,3,held,7.2582,aljazeera
P1,Turkey,4,refugee,7.198,aljazeera
P1,Turkey,5,road,7.1199,aljazeera
P1,Turkey,6,making,7.1199,aljazeera
P1,Turkey,7,loyal,7.1199,aljazeera
P1,Turkey,8,gang,7.1199,aljazeera
P1,Turkey,9,gunman,7.1199,aljazeera
P1,Turkey,10,morning,7.1199,aljazeera
P1,Turkey,11,stormed,7.1199,aljazeera
P1,Turkey,12,coastal,7.1199,aljazeera
P1,Turkey,13,antalya,7.1199,aljazeera
P1,Turkey,14,independent,7.1199,aljazeera
P1,Turkey,15,national,6.8262,aljazeera
P1,Turkey,16,iran,5.2815,aljazeera
P1,Turkey,17,conference,5.2372,aljazeera
P1,Turkey,18,sanction,4.5152,aljazeera
P1,Turkey,19,minister,4.357,aljazeera
P1,Turkey,20,protester,3.763,aljazeera
P2,Syrian_Regime,1,army,145.0934,aljazeera
P2,Syrian_Regime,2,president,129.7848,aljazeera
P2,Syrian_Regime,3,free,70.4437,aljazeera
P2,Syrian_Regime,4,power,67.5098,aljazeera
P2,Syrian_Regime,5,activist,61.2951,aljazeera
P2,Syrian_Regime,6,force,56.3513,aljazeera
P2,Syrian_Regime,7,step,51.6185,aljazeera
P2,Syrian_Regime,8,aleppo,49.0309,aljazeera
P2,Syrian_Regime,9,capital,44.0777,aljazeera
P2,Syrian_Regime,10,rule,41.4487,aljazeera
P2,Syrian_Regime,11,russia,38.2063,aljazeera
P2,Syrian_Regime,12,camp,34.6758,aljazeera
P2,Syrian_Regime,13,shelling,34.5515,aljazeera
P2,Syrian_Regime,14,support,32.2373,aljazeera
P2,Syrian_Regime,15,iran,30.8783,aljazeera
P2,Syrian_Regime,16,fighter,29.9693,aljazeera
P2,Syrian_Regime,17,central,28.2017,aljazeera
P2,Syrian_Regime,18,neighbourhood,25.5789,aljazeera
P2,Syrian_Regime,19,islam,25.0439,aljazeera
P2,Syrian_Regime,20,province,24.9093,aljazeera
P2,Syrian_Opposition,1,opposition,1102.111,aljazeera
P2,Syrian_Opposition,2,uprising,213.8226,aljazeera
P2,Syrian_Opposition,3,force,109.0189,aljazeera
P2,Syrian_Opposition,4,national,103.9442,aljazeera
P2,Syrian_Opposition,5,protester,92.6765,aljazeera
P2,Syrian_Opposition,6,captured,74.9787,aljazeera
P2,Syrian_Opposition,7,troop,74.1366,aljazeera
